Meisterzählung,D,A,B,C,E,F,G,W,Notizen
30,da fr#sov+e eua uz geuiel,#rD+a fro eva ovz geviel,,,,,,,
31,ab dem mere chan ſi den chiel,#rv+on dem mêre chan ſi den chiel,,,,,,,
32,wol bringen vnt geleiten,#rh+arte wol geleiten,,,,,,,
33,vz den ſorgen unt #lde+n #f3r+ arbeiten,#ro+#zv+z diſen arebeiten,,,,,,,
34,zeder himeliſchen borte,#rZ+#svo+ der himel porten,,,,,,,
35,mit dem gotes worte,#rM+it den gotes worten,,,,,,,
36,ir wart div warheit geſaget,#rI+r wart div warheit geſagt,,,,,,,
37,ſie iſt m#suo+ter und maget,#rS+i iſt m#suo+ter v#and+ magt,,,,,,,
38,ſine hat der engel niht betrogen,#rS+i hat der engel niht betrogen,,,,,,,
39,got hat daz ir ſpunne geſogen,#rG+ot hat daz ſpunne geſogen,,,,,,,
40,abe ir uil reinen bruſten,#rA+b ir vil ædelen prust,,,,,,,
41,die mannes nie geluſte,#rD+ie nie mannes geluſt,,,,,,,
42,noh nehêiner ſunden teil,#rG+ewan noch der ſvnden val,,,,,,,
43,ſie iſt iemer muter ane mæil,,,,,,,,
44,,#rS+i ist m#suo+ter ane mal,,,,,#f1r+ […] meil,,
45,uon ewen unt ze êwen,#f10r+ Von #^æ+wen ze #^æ+wen,,,,,vonewen vnd zenewen,,
46,wir ſchulen ſie anr#suo+fen ν#and+ flegen,Wir ſulen ſey an r#sue+fen v#and+ flêgen ,,,,,wir ſuln ſi an […]d flegen,,
47,#iH+imeliſchiv frowe,#iH+Imeliſche vrowe,,,,,[]imeliſchiv frowe,,
48,mit geiſtlichem tôwe,mit geiſtlichem t#sov+we,,,,,mit dem geiſtleichen towe,,
49,begiuz den minen gedanch,begivz minen gedanch,,,,,[…] mein gedanch,,
50,daz ich din lob vnd din geſanch,daz ich din lob vnt dinen ſanch,,,,,daz ich lob vnd din ſanch,,
51,ein teil gemeren m#suo+zze,ein teil gemæren m#svu+zze,,,,,ein te[…]eren muzze,,
52,unt hilf mir daz ich gebuzze,#rv+#and+ hilf daz ich geb#sue+zze,,,,,hilfe mir daz ich gebuzze,,
53,daz unreht daz ich ie begie,daz vnreht daz ich ie begie,,,,,daz ich [...]ht ie begie,,
54,wan ich gezwiuelot nie,wan ich gezweivelt nie,,,,,wan ich gezwiuelt nie,,
55,an dir noh andinem chinde,an dir noch an dem ſune dein,,,,,an dir noch […]nde din,,
56,des la mich gna#lde+ vinden,,,,,,,,
57,,æwiges magedin,,,,,ewigez magdin,,
58,vnt la mich #sov+ch geniezen,la daz ich geniezze ,,,,,nu la mich ge nizen,,
59,daz du nie #?[…]ze+,daz dv nie v#aer+liezze,,,,,da[…]rlieze,,
60,deheinen irdiſken man,den heinen yrdiſch#aen+ man,,,,,[…]ein irdiſchen man,,
61,der dich ze uoget wolte han,der dich ze votinne wolde han,,,,,der dich zevoit wolt[…],,
62,du biſt liehter denne der tach,#rD+v biſt lieht#aer+ dan der tak,,,,,[…] biſt liehter denne der tach,,
63,aller t#suo+gende wâz unt ſmach,v#and+ aller tugende ſmak,,,,,aller tugent wa[…]ach,,
64,flivzet uz diner ſc#zh+ozze,flivzzet ovz diner ſch#soe+zzen,,,,,fliuzet uz deiner ſchoze,,
65,nu bedenche fr#sov+e g#aro+zze,bedenche die êre grozzen,,,,,nu bed#aen+ch frovde […],,
66,waz dir der engel brahte,die dir der engel brahte,,,,,#f2v+ […]#aer+ engel braht,,
67,do got an dir bedahte,do got an dich gedahte,,,,,do got an dir gedaht,,
68,aller menniſken not,fur aller welde n#soe+t ,,,,,Aller men[…],,
69,unt dir die mandunge enbot,v#and+ dir den gr#suo+z enbot,,,,,vnd dir die mandunge enbot,,
70,in ditze chlage#dl+liche tal,in ditz iamer tal,,,,,her in ditze ch[…],,
71,daz er dich ze einem #?ſal+,daz er dich wolde ze einem ſal,,,,,do er dich zeſinen ſal,,
72,im ſelben wolte wihen,ſin ſelbez libe ze weihen,,,,,wold im ſelwen wih[…],,
73,#f3v+ wie mæhteſtu mir uerzihen,wie #f10v+ mohteſt dv mich ver zeihen,,,,,[…]teſtu mich uerzihen,,
74,g#suo+ter rede vnt guter liste,g#suo+ter rede v#and+ liſte,,,,,guter rede vnd guter […],,
75,dv biſt d#suv+ oberiſte,du biſt div oberiſte,,,,,[…]n du biſt div oberiſte,,
76,nach gotes magenchrefte ,nach gotes manchrefte ,,,,,nach gotis magencrefte,,
77,daz liet ich anhefte,ditz liet ich anehefte,,,,,[…] ich hefte,,
78,vf dine gnade uolle,#sov+f dine genade volle,,,,,vf din gnade uollen,,
79,dv bist daz tov in gedeonis wolle,dv biſt div tovwige wolle,,,,,dv biſt daz t#sov+ in […] wolle,,
80,#iN+v wil ich iν #lde+n orthaben,#iN+ wil ich ev den orthaben,,,,,[…]v wil ich iv den orthawen,,
81,bediv chunden vnde ſagen,bede chvnden v#and+ ſagen,,,,,bediv chund#aen+ vnd ſa[…]en,,
82,daz ich die materige,daz ich die materye,,,,,daz ich die materie,,
83,mit himiliſkem herige,mit himiliſchem herie,,,,,mit himelliſchen herie,,
84,vnd div ſtarchen mære,v#and+ die ſtarken mêre,,,,,[…] ſtarchen mare,,
85,al deſte baz bewære,dest#aer+ baz bew#^æ+re,,,,,al dez bas beware,,
86,matheus ewangeliſte,Math#aeu+s ewangeliſte ,,,,,Matheus e[…],,
87,der ſcreip iz uon chriſte,d#aer+ ſchreib ez von chriſte,,,,,ſchreib iz uon chriſte,,
88,und uon der m#suo+ter d#siv+ in truch ,v#and+ von d#aer+ magt div in tr#suo+k,,,,,vnd uon der muter di[…]h,,
89,dannen ſcreib er zeichen gn#suo+ch,da von er zeichen ſchreib gen#suo+ch,,,,,ſchreib er zeichen genuch,,
90,doh was div rede bet#^w+ngen,doch waz div red bedwungen,,,,,idoch was div re[…],,
91,in ebreiſker zûnge,in ebreyſcher zvngen,,,,,,,
92,untze an ſant ieronimu#aum+,vntz an ſant Ieronimum,,,,,[...] ſant ieronimum,,
93,der tet daz durh den gotes ſun,der tet daz durt den gotes ſvn,,,,,,,
94,vnt durh zweir biſcoffe rat,v#and+ durch zweyer piſchof rat,,,,,,,
95,daz er daz liet gewitert hat,daz er ditz liet getihtet hat,,,,,,,
96,in die ſenften latine,in die ſenfte lateine,,,,,,,
97,daz wazzer wart da ze wine,daz wazzer wart ze weine,,,,,,,
98,d#siv+ milch verwandelt ſich in daz ole ,div milich wart ze #soe+le,,,,,,,
99,do er unſ ſcreib alſo wole,do er vns ſchreib ſo wole,,,,,,,
100,d#siv+ #^w+ſte wart erbuwen,,,,,,,,
101,do diſiv rede n#siv+we,,,,,,,,
102,vz wart gechundet,,,,,,,,
103,des het in geſchundet,dez heten in geſchundet,,,,,,,
104,,daz er die red chundet,,,,,,,
105,chromati#aus+ vnd eliodorus,#rF+romaci#aus+ v#and+ #rE+liodor#aus+,,,,,,,
106,die biſgofe hiezen alſus,die pyſcof hiezzen #f11r+ alſus,,,,,,,
107,die ſanten im ir brief,die im ſanten ir brief,,,,,,,
108,daz er die ſchrift div ê da ſlief,daz e die ſchrift div vor ſlief,,,,,#f1v+ […] div ſchrifpte div e da lief,,
109,mit bredige #f4r+ muſe erwechen,mit predige ſolde weche,,,,,mit predige muſe […],,
110,vnt die ſvzen lere endechen,die ſ#sve+zzen lere entechen,,,,,[…]in ſuze rede entechen,,
111,div ê was beſchatewôt,die ê waz beſchatot,,,,,di e da waz beſchatewot,,
112,d#siv+ gotes chint ir brot,daz die gotes chint ir brot,,,,,[…] kint ir brot,,
113,vnt ir ſpiſe funden dar an,v#and+ ir ſpeiſe funden daran,,,,,vnd ir ſpiſe fvnden dar an,,
114,der ingewnden chunchlich vân,der ingewunden van,,,,,der […] den van,,
115,der wart do wol begreifet,d#aer+ wart da wol gelaitet,,,,,der wart wol #zbe+greifet,,
116,vnd f#svo+r daz here gewêifet,v#and+ fur daz hêr gepreitet,,,,,fur daz here […]t,,
117,daz div chriſtenlichiv ſchâre,daz div chriſtenliche ſchar,,,,,daz elliv chriſtenlichiv ſchar,,
118,enſamet m#suo+ſe ilen dare,mit chreften muge varen dar,,,,,mit chrefte […]arn dar,,
119,ze geiſtlichem ſtûrme,ze geiſtlichem ſturme,,,,,zedem geiſtlichen ſtvrm,,
120,gegen dem lintwrme,gen dem lintwurme,,,,,gegen dem li[…],,
121,da #lde+r ſige ſcholt ergên,da der ſich ſol ergæn ,,,,,do der ſich ſol ergen,,
122,uon der vinſter ſchulen #sov+ch wir erſten,von d#aer+ vinst#aer+er ſul wir erſtên,,,,,von der vinſter ſ[…] wir […],,
123,zedem ewigem liehte,z#suo+ dem aewigen liehte,,,,,[…]edem ewigen lieht,,
124,got geſchuf uns uon niehte,got geſchvf vns von nihte,,,,,got geſchuf vns uz nieht,,
125,der iſt unser vater guter,der iſt vnſer vater g#suo+t#aer+,,,,,er […]er vater guter,,
126,nv bittet ſine m#suo+ter,nv bite wir ſine m#suo+ter,,,,,nu biten wir ſin muter,,
127,daz ſie unſ hie beh#svo+te,daz ſi vnſ wol beh#sve+te,,,,,daz ſi […],,
128,mit ir tvſentvaltiger g#svo+te,mit ir t#sov+ſ#aen+tfalte g#sue+te,,,,,,,
129,#iD+er ler#^æ+re heizet ieronimus,Der brieſt#aer+ heizzet Ieronimus,,,,,,,
130,der im gezimbert hat ein hûs,der im gezimbert hat daz hovs,,,,,,,
131,mit disem bûche hinze got,mit diſem b#suo+che hin ze got,,,,,,,
132,ſwaz matheus der frone bot,swaz #rMath#aeu+s+ d#aer+ frone bot,,,,,,,
133,ebreiſken livten #?uor+ſaget,den ebreyſchen vor ſaget,,,,,,,
134,dirre herre #lde+s niht verdaget,dirre herre dez niht verdaget,,,,,,,
135,inder rehten latine,inder lateine,,,,,,,
136,von dem ewigem urſchine,#f11v+ von dem æwige ſcheine,,,,#f1r+ von dem ewigen vrſchine,,,
137,er chunde wole choſen,er chunde vil wol choſen,,,,er chunde wol choſen,,,
138,uon der #?lilien+ vnt uon der roſen,von d#aer+ lylien v#and+ d#aer+ roſen,,,,von der lilien u#and+ von der roſen,,,
139,d#siv+ der dorne #?n+ien hat,div den dorn niht enhat,,,,div der dorn nine hat,,,
140,nv wolt ovch ich den ir rat,nv wolde ich ir rat,,,,nu wolt #sov+ch ih den ir rat ,,,
141,vnt ir h#?elfe+ ſuchen,mit ir helfe ſ#suo+chen,,,,u#and+ ir helfe ſ#svo+chen,,,
142,obe ſi #lde+s #f4v+ wolte ruchen,ob ſi des wolt ger#suo+chen,,,,ob ſie dez wolte r#sov+chen,,,
143,daz ich mit dvtiſker rede,daz ich in tevſcher re#lde+,,,,daz ih mit d#sov+tiſcher rede,,,
144,daz buch bræhte her zewege,daz p#suo+ch prehte her zewêge,,,,daz b#svo+ch brahte her ze wege,,,
145,daz ſie iz alle muſen lesen,daz ez alle mugen leſen,,,,daz ſi ez alle m#svo+ſen leſen,,,
146,die goteſ kint wellent weſen,die goteſ chint wel#alen+ weſen,,,,die goteſ kint wellen weſen,,,
147,v#and+ ovch megen ſchowen,v#and+ auch mugen ſchowen,,,,v#and+ #sov+ch m#svo+zen ſc#sov+wen,,,
148,die laigen vnt die frowen,phaffen layen vrowen,,,,phaffen v#and+ frowen,,,
149,ſmechen vnd eruinden,,,,,ſmechen v#and+ ir grunden,,,
150,von #lde+m frone kinde,,,,,von dem fronen chinde,,,
151,daz im die muter erchoſe,wie daz kint die m#suo+t#aer+ chos,,,,daz im die m#svo+ter irchoſ,,,
152,d#siv+ ir magetum nie uerloſe,div den magt#svo+m nie v#aer+los,,,,div ir maget#sov+m nie verlos,,,
153,vnt niemer mak verlieſen,noch nimm#aer+ mak v#aer+lieſen,,,,v#and+ nimer mah verlieſen,,,
154,an der megen wir wol chieſen,wir mugen wol kyeſen,,,,wir m#svo+gen #sov+ch wol ch#zi+eſin,,,
155,wie rehte gnædich ſie ſi,wie genedik ſi ſey,,,,wie vil gnadich ſie ſi,,,
156,der daz chint ſitzet bi,der daz kint ſitzet bey,,,,der daz kindelin ſizzit bi,,,
157,daz bediv lev vnt lamb iſt,daz lêwe v#and+ lamp iſt,,,,daz lewe u#and+ lamb iſt,,,
158,ob allen dingen zeoberiſst,ob allen dingen oberiſt,,,,ob allen dingen zeoberiſt,,,
159,bediv leben vnt tot,bede læwen v#and+ t#soe+t,,,,beidiv lip u#and+ tot,,,
160,hirt vnt lebentigez brot,,,,,hirte u#and+ lebendigez brot,,,
161,,herre fleiſch v#and+ pr#soe+t,,,,,,,
162,tov vnde bl#suo+me,,,,,tav u#and+ bl#sov+me,,,
163,gelt vnde r#suo+we,,,,,gelt u#and+ r#sov+we,,,
164,wenich vnt michel,,,,,wenich v#and+ michel,,,
165,uor allen ſunden ſicher,,,,,von allin ſunden ſicher,,,
166,vater unſer gotes ſun,vat#aer+ vnde ſvn,,,,baidiv vater v#and+ ſun,,,
167,einvalte vnde wîſtum,aynvalt v#and+ weiſtum,,,,ein valt u#and+ vviſt#sov+m,,,
168,groz vnt chleine,groz vnde chleine,,,,groſ v#and+ claine,,,
169,daz iſt er alterſeine,iſt er alterſeine,,,,daz iſt er alter ſaine,,,
170,der unſ in noten erschêin,der vns ze notdurfte erſchein,,,,der vnſ ze nôt dufte ir ſcein,,,
171,er nam hie fleiſh vn#lde+ bein,er nam hie fleiſch v#and+ payn,,,,er nam hie fleiſch v#and+ bein,,,
172,vnt die rein#aen+ menniſkeit,,,,,,,,
173,hohet er mit #lde+r gotheit,,,,,,,,
174,von der erde hinze himele,,,,,,,,
175,an ſines uaters geſidele,,,,,,,,
176,do wart d#siv+ helle zebrochen,,,,,,,,
177,v#and+ wr#lde+n wir errochen,,,,,,,,
178,,ſin ſneweizze ſæle,,,,ſin ſne wizziv ſele,,,
179,,f#suo+r in die phalzen hêre,,,,#swo+re indie phalnzen here,,,
180,,ſande MaRien,,,,,,,
181,,die wold vns wol freyen,,,,,,,
182,,von den ſchæmelichen iochen,,,,,,,
183,,dis cheten iſt zebrochen,,,,div chetene iſt zerbrochen,,,
184,,,,,,goteſ hande errochen,,,
185,an dem tievil #lde+r unſ bant,#rD+a vns d#aer+ tievel mit pant,,,,da vnſ der tiewil mit bant,,,
186,des loben wir den heilant,des lobe #f12r+ wir den hailant #rAmeN+,,,,deſ loben wir den hailant,,,
187,ſin gezelt ſt#suo+nt in der ſunne,,,,,ſin gezelt ſtunt inder ſunnen,,,
188,beſigelt ist #lder+ brunne,,,,,beſigelt iſt der brunne,,,
189,unge#f5r+brachot iſt der anger,,,,,ungebrachet iſt ir anger,,,
190,ir chor#lde+r hat ertotet #lde+n ſlangeN,,,,,ir chorder hat ir tôtet den ſlangen,,,
191,#iD+en nit wil ich uerdingen,#iD+En haz ich hie v#aer+dinge,,,,#iD+en nit wil ih verdingen,,,
192,untze ich fure bringe,v#and+ neit vntz ich furbringe,,,,vnze ih wr bringe,,,
193,diſiv ſeltſænen wort,diſe ſæligen wort ,,,,diſiv ſeltſaniv wort,,,
194,ſwaz matheus ſchreib dort,waz Math#aeu+s ſchreib dort,,,,ſwas math#aeu+s ſcraib dort,,,
195,den ebre#?iſ+chen liuten,den ebrayſch#aen+ levten,,,,den eberaiſchen li#svo+ten,,,
196,daz wil ich iv bedîvten,daz wil ich iv bedevten,,,,daz wil ih hie zedvte,,,
197,,ſagen v#and+ ſchreiben,,,,ſagin v#and+ ſcriben,,,
198,,m#aan+nen v#and+ weiben,,,,mannen u#and+ wiben,,,
199,mit der helfe v#and+ uolleiſte,mit goteſ volleiſt,,,,mit der volaiſte,,,
200,des heiligen geiſtes,v#and+ dem heiligen geiſt,,,,deſ hailigen gaiſtes,,,
201,ich weiz wol des tîevels ſtrit,,,,,ih weiz dez tiwiles ſtrit,,,
202,diche wanthalſen git,,,,,diche winthalfen gît,,,
203,boſez nitbechen,,,,,bozeſ nit becchen,,,
204,vnt eitirgez hechen,,,,,attergez hecchen,,,
205,der unuerwizzene diet,,,,,der vnwirdiſchen diet,,,
206,daz ſi ſchelten div liet,,,,,daz ſie ſchelten div liet,,,
207,div inwislich#aer+ ahte,,,,,div inwiſlicher ahte,,,
208,vergelten niemen mæhte,,,,,wergelten nimen mahte,,,
209,noh mit grozem g#suo+te wîder wegen,,,,,mit grozim g#sov+te wider wegen,,,
210,die wane ich #lde+n flûch fvr den ſegen,,,,,ih wæne ſie den fl#sov+ch vvr den ſegen,,,
211,uone got enpfahent,,,,,von gote en phahent,,,
212,die ſich daran uergahent,,,,,die ſih dar an vergahent,,,
213,ſwer ditze liet beſpreche,ſwer ditz liet v#aer+ſpreche,,,,ſwer dich beſpreche,,,
214,ſænt mathe#aus+ m#suo+z ez rech#aen+,#rMath#aeu+s+ m#svo+z ez rechen,,,,Math#aeu+s m#svo+z ez rechen,,,
215,#lder+ ez zem erſten ſchreib,d#aer+z zemerſt#aen+ ſchreip,,,,der zem eriſten ſcraib,,,
216,unt #lde+n irretûm vertreib,v#and+ #aden+ irſal v#aer+treip,,,,v#and+ den irret#sov+m vertraib,,,
217,den manichei ivnger ſatzte,,,,,den Amachei iunger ſazte,,,
218,do er ſine zunge watzte,,,,,do er die zungen wazte,,,
219,in upigez choſe,,,,,in #f1v+ vppigeme chôſe,,,
220,doh wolt die rede boſe,,,,,doch nie wolte die rede boſe,,,
221,d#siv+ christenheit niht enpfah#aen+,,,,,div criſtenhait niht en phahen,,,
222,do sie die luge ſahen,,,,,do ſie die l#sov+ge ſahen,,,
223,der ivnger hiez leucio,,,,,#rD+er iunger heiz leutio,,,
224,vnt wart uerworfen alſo,,,,,u#and+ war verworfen alſo,,,
225,daz ſin re#lde+ iſt begraben,,,,,daz ſin rede wart betragen,,,
226,vnt ſie nîemen getar ſagen,,,,,v#and+ ſi niemen getar geſagin,,,
227,wan ſi mit durren zwien ſtat,,,,,wan ſi mit dvrrin zwigen ſtat,,,
228,nv ſi #lde+r wrze #f5v+ nien hat,,,,,v#and+ ſie der wrze nine hat,,,
229,matheus der ewangeliſste,Math#aeu+s ew#aan+gel#ai+ſte,,,,#rMath#aeu+s ewag#aeli+ſte+,,,
230,nam im ſo lange friſte,d#aer+ nam im lange friſte,,,,der nam im lange friſte,,,
231,untze #zer+ ez vil rehte gar erf#svo+re,vnz er ſich vil rehte erf#suo+r,,,,vnze er ez wil rehte gar ir fvr,,,
232,daz weder moſ noh m#svo+re,daz wed#aer+ mos noch m#suo+r,,,,daſ weder môſ noch mur,,,
233,sin#siv+ worte enmach getruben,ſine wort mak getr#sve+ben,,,,ſiniv wort nemach getr#sov+ben,,,
234,des lat #sov+ch ivh gen#sue+gen,des vns wol ſol gen#sve+gen,,,,deſ lat och ivch genugen,,,
235,vnt ſant ieronimi lere,an ſant #rI+eronimi lære,,,,v#and+ ſc#aen+ #rIeronimi+ lere,,,
236,die mugen iv gehelfen an #lde+r ſele,,,,,die mugen iv wol gehelfin an der ſele,,,
237,,d#aer+ ger#suo+che wende vnſer ſære,,,,,,,
238,,in#adem+goteſ na#amen+,,,,,,,
239,,daz geſchehe amen,,,,,,,
240,#iB+i den selben citen,#iB+ey den alten zeit#aen+,,,,#iB+i den Alten ziten,,,
241,got enwaſ niht chundich witen,was got niht chunt weit#aen+,,,,got enwaſ niht chudech witen,,,
242,wan eine erchant in iudea,niw#aer+ in Ivdea,,,,not#aus+ in iudea,,,
243,fremide was er anderſwa,fromde was er anderſwa,,,,fremde waſ er anderſwa,,,
244,do waſ der heidenſchefte vil,do was d#aer+ heidenſchaft ſo vil,,,,do waſ der haidenſcefte vil,,,
245,die des tieueles ſpil,die des tievels ſpil,,,,die deſ tievelis ſpil,,,
246,anden abgoten begieNgen,anden apgoten begiengen,,,,an den abgoten begingen,,,
247,des ovh ſie ſcaden geviengen,deſ ſi auch ſchade enphiengen,,,,deſ #sov+ch ſie ſchaden gevingen,,,
248,am#lde+m libe vnt ander sele,an dem leibe v#and+ an d#aer+ ſæle,,,,anme libe v#and+ ander ſele,,,
249,do behielt die gotes e,do behielt div goteſ lære,,,,do be hilt die goteſ lere,,,
250,div iſraheliſke diet,div iſr#aahel+iſche diet,,,,div iſraheliteſce diet,,,
251,als in moyſes geriet,als in #rM+oyſes geriet,,,,alſ in moyſes geriet,,,
252,vn#lde+ ir vater habraham,v#and+ ir vat#aer+ #ra+braham,,,,u#and+ ir vater abra#aham+,,,
253,#lde+m waren ſie gehorſam,dem waren ſi gehorſam,,,,dem waren ſie gehorſam,,,
254,ysaac vnd iacob danah,#rY+ſaac v#and+ jacobe,,,,yſaac v#and+ #rIacobe+,,,
255,der hinze himele ſah,,,,,,,,
256,ein leiter uon der erde gerihte,,,,,,,,
257,da got zeſiner geſihte,,,,,,,,
258,selbe wider in ſprah,,,,,,,,
259,wnders im #sov+h mere geſcah,,,,,,,,
260,,d#aer+ in deſ himels hoher #^æ+,,,,der indeſ himeles h#sov+he,,,
261,,#f12v+ ein leitern geſach ,,,,eine lateren gaſah,,,
262,,v#and+ in ſin ſchêpher ſach,,,,da in ſin ſcephare geſprah,,,
263,,facie ad faciem,,,,facie ad faci#aem+ ,,,
264,,wie moht ez im baz ergen,,,,wie mahte ez ime baz ergen,,,
265,do er den engel gevie,do er den engel ge vie,,,,do er den engel gewie,,,
266,unt in des morgenſ nien lie,den er des morgens niht ver lie,,,,den er deſ morgeneſ niht verlie,,,
267,untze er in geſegenot,vnz er in geſegenot,,,,vnz er in geſegenote,,,
268,div huf im #?dor+rot,,,,,div huf ime dorrote,,,
269,,div hilf wont im niht bey genot,,,,,,,
270,da in #lde+r engel druhte,do in der engel drukte,,,,da in der engel druhte,,,
271,hin naher er ſie geruhte,hin naher er ſich rukte,,,,hin naher ir ſie r#sov+chte,,,
272,ze einem urchunde,ze einem vr chunde ,,,,zeinem vrchunde,,,
273,hinchen do #f6r+ begunde,hinchen er beg#aun+de,,,,hainlichen do begunde,,,
274,der heilige patriarche,der heilige pa#atri+arch,,,,der hailige pat#zi+arche,,,
275,des wnderot ſtarche,deſ wundert vil ſtarch,,,,deſ wnderote do ſtarche,,,
276,allez ſin geſlæhte,alles ſin gesſlæhte,,,,alleſ ſin geſlahte,,,
277,als ez vil wol mahte,als ez von ſchulden t#suo+n mohte,,,,alſ ez vil wol mahte,,,
278,ſie wrden des gefr#sov+wet,ſi wurden deſ gefrevt,,,,ſie wrdeſ deſ gefr#sov+wet,,,
279,daz er was bescôwet,daz er wart beſchout,,,,daz er waz beſc#sov+wet,,,
280,uon gotes anblike,von gotes anplike,,,,von goteſ ane bliche,,,
281,ſi ſuhten uenie dicke,ſi ſ#suo+chten venig dike,,,,ſie ſ#sov+then uenie diche,,,
282,gegen den himiliſgen choren,gen den himel ch#soe+ren ,,,,gen den himelſchen chôren,,,
283,hie muget ir wnder horen,hie mvgt ir wol wunder horen,,,,hie m#svo+gent ir wnder horen,,,
284,#f6v+ #iV+z dem ſelben chunne,#rO+uz dem chunne zierſam,,,,#iV+z dem ſelben chunne,,,
285,was ein kint erſprungen,,,,,waz ein kint ir ſprungen,,,
286,,wart ein chint lobeſam,,,,,,,
287,ein man in diſe werlte geborn,indise w#aer+lt geborn,,,,ein man geborn indiſe werlt,,,
288,got ſelbe het im erchorn,got ſelbe het im erchorn,,,,got ſelbe hete ime er welt,,,
289,ſin gedanche v#and+ ſinen ſin,ſin gedanch v#and+ ſin#aen+ ſin,,,,ſinen gedanch v#and+ ſinen ſin#den+,,,
290,geheizen was er ioachim,ge heizzen wart er #rI+oachim,,,,gehaizen waz er ioachim,,,
291,v#and+ was der beſten eine,d#aer+ waz der beſten ayn,,,,u#and+ waſ der beſten ein,,,
292,#lde+n div svnne ie uberſchêin,den div ſvnne ie beſchein,,,,den div ſunne ie beſcain,,,
293,ſin einvalte was ſo groz,sin g#sue+te waz ſo groz,,#f5r/C4+ […] roz ,,ſin ainvalte waſ ſo groz,,,
294,daz er ſin uon rehte gnoz,daz er ſin wol genoz,,daz er […],,daz ſin ſit wil wol gonoz,,,
295,uor got und vor den livten,vor got v#and+ vor den levten,,[…]en luten,,uor gotte u#and+ vor der l#suo+ten,,,
296,ioachim chîvt zedivte,Ioachim ſ#apri+chet zebedeuten,,io[…],,ioachim ch#suo+t […],,,
297,preparatio d#aomi+ni,#rR+e#apar+a#aci+o d#aomi+ni,,,,,,,
298,ſo wâne ich #f7r+ da geſcriben ſi,ſwa ez geſchriben ſey,,[…]so da geſ#?c+[…],,,,,
299,daz kivt unſers herren garewnge,daz ſ#apri+chet vnſers herren beraitunge,,[…]ge ,,,,,
300,ein liehtvaz dem ſunne,liehtvaz der ſunne,,licht was […],,,,,
